rweight, branch, status, prisk, qd, pd
,4,1.0,0.4392431254532684,0.016,0.076
,1,1.0,0.6825326622623844,0.127,0.217
,12,0.0,0.9567409540049077,,
,20,1.0,0.6478553157718558,,
,2,1.0,0.996665291437684,0.19,0.9420000000000001
,6,0.0,0.7491940599574348,0.166,0.295
,11,1.0,0.11008426115113379,0.05,0.149
,13,1.0,0.4913831957970459,,
,5,0.0,0.5651453592612876,0.075,0.11199999999999999
,15,0.0,0.2538117862083361,,
,16,0.0,0.626793910352374,,
,14,0.0,0.23410455326227375,,
,7,1.0,0.1247919570769006,0.057999999999999996,0.09
,8,0.0,0.609874865666702,0.018000000000000002,0.035
,17,0.0,0.6727928883390367,,
,19,1.0,0.5888720595243433,,
,10,1.0,0.7619157626781667,0.057999999999999996,0.135
,9,1.0,0.36585394350375,0.016,0.061
,18,1.0,0.13102565622085904,,
,3,1.0,0.9464532262313834,-0.039,0.478
